Brand,Year,Age,kmDriven,Transmission,Owner,FuelType,AskPrice
Honda,2001,23,98000,Manual,second,Petrol,195000
Toyota,2009,15,190000,Manual,second,Diesel,375000
Volkswagen,2010,14,77246,Manual,first,Diesel,184999
Maruti Suzuki,2017,7,83500,Manual,second,Diesel,565000
Maruti Suzuki,2019,5,45000,Automatic,first,Petrol,685000
BMW,2014,10,83000,Automatic,first,Diesel,1350000
Toyota,2014,10,168000,Manual,second,Diesel,1025000
BMW,2019,5,25000,Automatic,second,Diesel,5950000
Maruti Suzuki,2020,4,33759,Manual,second,Petrol,622000
Ford,2017,7,69713,Manual,second,Petrol,649000
Maruti Suzuki,2018,6,70000,Automatic,first,Petrol,395000
Kia,2021,3,25000,Automatic,first,Diesel,2900000
Maruti Suzuki,2012,12,72700,Manual,second,Petrol,240000
Toyota,2007,17,121931,Automatic,second,Petrol,201350
Mercedes-Benz,2021,3,32000,Automatic,second,Petrol,11800000
Hyundai,2018,6,130000,Manual,second,Diesel,330000
Kia,2020,4,68000,Manual,first,Diesel,1045000
Maruti Suzuki,2016,8,65000,Manual,second,Diesel,785000
Maruti Suzuki,2017,7,59000,Automatic,second,Petrol,555000
BMW,2015,9,61000,Automatic,second,Diesel,1500000
Ford,2019,5,77000,Automatic,second,Diesel,2399000
Toyota,2017,7,107000,Automatic,first,Diesel,1325000
Honda,2010,14,99000,Manual,first,Petrol,295000
Audi,2015,9,42000,Automatic,second,Diesel,1050000
Renault,2019,5,48073,Automatic,second,Petrol,355000
MG,2019,5,32618,Automatic,first,Petrol,1250000
Maruti Suzuki,2012,12,70000,Manual,second,Diesel,315000
Maruti Suzuki,2014,10,51000,Automatic,second,Petrol,345000
Maruti Suzuki,2018,6,137000,Manual,first,Diesel,845000
Toyota,2023,1,1996,Automatic,first,Diesel,4195000
Toyota,2017,7,90000,Manual,second,Diesel,1950000
Toyota,2011,13,84000,Manual,second,Diesel,490000
Volvo,2018,6,53000,Automatic,first,Diesel,2950000
Hyundai,2021,3,17000,Manual,first,Petrol,685000
Maruti Suzuki,2018,6,70000,Manual,second,Petrol,749000
Hyundai,2023,1,5000,Automatic,first,Petrol,1600000
Hyundai,2022,2,47110,Manual,second,Diesel,1695000
Hyundai,2019,5,35000,Manual,first,Petrol,585000
Mercedes-Benz,2019,5,101570,Automatic,first,Diesel,4200000
Volkswagen,2021,3,42000,Manual,second,Petrol,675000
Maruti Suzuki,2018,6,30000,Manual,second,Petrol,630000
Hyundai,2016,8,82100,Manual,second,Diesel,465000
Audi,2012,12,90000,Automatic,second,Diesel,899000
Toyota,2011,13,193000,Manual,second,Diesel,1125000
Mercedes-Benz,2015,9,65000,Automatic,first,Diesel,1750000
Hyundai,2022,2,30000,Automatic,second,Petrol,1690000
Maruti Suzuki,2020,4,94856,Manual,first,Petrol,690000
Skoda,2023,1,12000,Automatic,first,Petrol,1800000
Maruti Suzuki,2018,6,0,Manual,first,Petrol,500000
Tata,2010,14,500000,Manual,first,Diesel,800000
Toyota,2018,6,118000,Automatic,first,Diesel,1795000
Mercedes-Benz,2016,8,41000,Automatic,second,Petrol,2000000
Honda,2010,14,79000,Manual,second,Petrol,290000
Honda,2016,8,103001,Manual,second,Diesel,555555
Hyundai,2017,7,70000,Manual,second,Petrol,765000
Renault,2018,6,130000,Manual,first,Diesel,690000
Maruti Suzuki,2011,13,78000,Manual,second,Petrol,225000
Toyota,2017,7,115000,Automatic,second,Diesel,2390000
Mahindra,2017,7,160000,Manual,second,Diesel,550000
Hyundai,2017,7,27000,Manual,second,Petrol,300000
MG,2020,4,81600,Automatic,first,Petrol,1021000
Hyundai,2017,7,54000,Automatic,first,Petrol,811000
Mahindra,2018,6,76000,Manual,first,Diesel,1125000
Mercedes-Benz,2014,10,86000,Automatic,first,Diesel,3000000
Hyundai,2011,13,65000,Manual,second,Petrol,115000
Mercedes-Benz,2018,6,60000,Automatic,second,Diesel,1450000
Kia,2023,1,24000,Manual,first,Petrol,1225000
Toyota,2011,13,100231,Manual,second,Diesel,429101
Maruti Suzuki,2023,1,13000,Manual,second,Petrol,610000
Hyundai,2017,7,47000,Manual,first,Petrol,519999
Hyundai,2007,17,115031,Manual,second,Petrol,140000
Maruti Suzuki,2014,10,67000,Manual,first,Petrol,280000
Hyundai,2016,8,74500,Manual,first,Diesel,425000
Honda,2016,8,93000,Automatic,second,Petrol,575000
Maruti Suzuki,2015,9,59000,Manual,first,Petrol,295000
Toyota,2017,7,79000,Automatic,second,Diesel,1725000
Hyundai,2022,2,69000,Automatic,first,Diesel,1250000
Hyundai,2015,9,76000,Automatic,second,Diesel,650000
Kia,2020,4,34500,Automatic,first,Petrol,935000
Ford,2016,8,130000,Manual,second,Diesel,400000
Mercedes-Benz,2022,2,20000,Automatic,first,Diesel,7500000
Mahindra,2023,1,15905,Automatic,first,Diesel,2350000
Toyota,2021,3,21000,Manual,first,Diesel,2125000
Mini,2019,5,13000,Automatic,first,Petrol,3950000
Maruti Suzuki,2015,9,75000,Manual,first,Diesel,435000
Volkswagen,2012,12,80000,Manual,second,Diesel,300000
Maruti Suzuki,2016,8,50000,Manual,first,Petrol,245000
Tata,2022,2,40000,Automatic,second,Petrol,680000
Maruti Suzuki,2013,11,87000,Manual,first,Diesel,385000
Toyota,2015,9,155000,Manual,second,Diesel,589000
Volkswagen,2014,10,80000,Manual,second,Diesel,425000
Maruti Suzuki,2014,10,84000,Manual,second,Petrol,265000
Volkswagen,2021,3,18000,Automatic,first,Petrol,850000
Maruti Suzuki,2017,7,47000,Automatic,first,Petrol,575000
Volkswagen,2011,13,134000,Manual,first,Diesel,425000
Maruti Suzuki,2011,13,82000,Manual,first,Petrol,180000
Maruti Suzuki,2015,9,35000,Automatic,first,Petrol,425000
Renault,2015,9,150000,Automatic,second,Diesel,450000
Toyota,2012,12,132000,Manual,first,Diesel,1095000
Land Rover,2017,7,130000,Automatic,second,Petrol,2500000
Maruti Suzuki,2020,4,59000,Automatic,first,Petrol,980000
Tata,2018,6,95000,Automatic,second,Petrol,575000
Tata,2016,8,115000,Manual,second,Diesel,110000
Mahindra,2022,2,11000,Manual,first,Diesel,1675000
Toyota,2015,9,68000,Automatic,second,Petrol,1185000
Skoda,2021,3,74000,Automatic,first,Petrol,1199000
Maruti Suzuki,2012,12,88000,Manual,first,Petrol,385000
Hyundai,2014,10,47000,Automatic,second,Petrol,455000
Mahindra,2015,9,16,Manual,first,Diesel,390000
Honda,2012,12,68000,Manual,first,Petrol,235000
Honda,2007,17,115000,Manual,second,Petrol,265000
Hyundai,2011,13,50000,Manual,second,Petrol,150000
Honda,2017,7,98000,Manual,first,Diesel,600000
Land Rover,2019,5,62000,Automatic,first,Diesel,3099000
Tata,2019,5,67000,Manual,second,Diesel,899000
Tata,2015,9,69000,Manual,second,Petrol,340000
Maruti Suzuki,2021,3,49000,Manual,first,Petrol,540000
Maruti Suzuki,2013,11,162000,Manual,second,Diesel,390000
Toyota,2018,6,86000,Manual,first,Diesel,2499000
Hyundai,2023,1,35000,Automatic,first,Diesel,2025000
Maruti Suzuki,2014,10,38000,Manual,first,Petrol,370000
Hyundai,2020,4,105000,Manual,first,Diesel,1050000
Toyota,2022,2,25500,Automatic,first,Diesel,4199999
Maruti Suzuki,2015,9,67000,Manual,first,Petrol,450000
Volkswagen,2016,8,78000,Automatic,first,Petrol,555000
Toyota,2006,18,191000,Manual,first,Diesel,295000
Hyundai,2018,6,66000,Automatic,second,Petrol,1075000
Toyota,2016,8,75000,Manual,first,Diesel,1480000
Maruti Suzuki,2018,6,85600,Manual,first,Diesel,750000
Maruti Suzuki,2012,12,155000,Manual,second,Diesel,650000
Hyundai,2010,14,46000,Manual,second,Petrol,78000
Maruti Suzuki,2015,9,68000,Manual,first,Petrol,330000
Ford,2018,6,73000,Automatic,first,Petrol,590000
Honda,2011,13,74000,Automatic,second,Petrol,375000
Maruti Suzuki,2018,6,65000,Automatic,second,Petrol,590000
Audi,2021,3,50000,Automatic,first,Petrol,3250000
Honda,2014,10,61000,Automatic,first,Petrol,685000
Maruti Suzuki,2005,19,98000,Manual,second,Petrol,160000
Mahindra,2017,7,76000,Automatic,second,Diesel,760000
Mahindra,2016,8,89100,Manual,second,Diesel,760000
Volkswagen,2018,6,73961,Automatic,second,Petrol,935000
Ford,2019,5,60000,Automatic,first,Diesel,2740000
Mahindra,2018,6,46850,Manual,second,Diesel,880000
Mahindra,2023,1,28000,Automatic,first,Diesel,1785000
Mahindra,2013,11,99000,Manual,second,Diesel,470000
Maruti Suzuki,2009,15,56328,Manual,first,Petrol,265000
Audi,2015,9,42000,Automatic,second,Diesel,1050000
Hyundai,2018,6,127000,Manual,first,Diesel,995000
Mercedes-Benz,2013,11,78000,Automatic,second,Petrol,790000
Toyota,2022,2,31000,Automatic,first,Diesel,2700000
Skoda,2020,4,57000,Automatic,first,Diesel,3045000
Ford,2017,7,70000,Automatic,second,Diesel,2650000
Honda,2016,8,93000,Automatic,second,Petrol,575000
Hyundai,2014,10,41453,Manual,second,Petrol,220000
Tata,2021,3,33000,Manual,first,Petrol,545000
Maruti Suzuki,2018,6,37000,Automatic,second,Petrol,460000
Volkswagen,2015,9,65000,Manual,first,Petrol,375000
Hyundai,2022,2,36000,Automatic,first,Petrol,690000
Toyota,2016,8,130000,Automatic,second,Petrol,1399999
Maruti Suzuki,2013,11,100000,Manual,second,Petrol,160000
